x;y;z;time
-0,02; 0,05; 9,83; 2721070357
-0,03; 0,06; 9,83; 2721070376
-0,02; 0,05; 9,82; 2721070394
-0,03; 0,05; 9,83; 2721070420
-0,03; 0,06; 9,83; 2721070435
-0,02; 0,06; 9,82; 2721070453
-0,02; 0,06; 9,85; 2721070473
-0,02; 0,06; 9,83; 2721070492
-0,03; 0,06; 9,82; 2721070511
-0,03; 0,06; 9,85; 2721070540
-0,03; 0,06; 9,84; 2721070552
-0,03; 0,05; 9,83; 2721070570
-0,03; 0,05; 9,84; 2721070589
-0,02; 0,06; 9,82; 2721070609
-0,02; 0,05; 9,84; 2721070628
-0,03; 0,05; 9,83; 2721070647
-0,03; 0,05; 9,82; 2721070669
-0,02; 0,06; 9,84; 2721070686
-0,02; 0,05; 9,83; 2721070706
-0,02; 0,05; 9,84; 2721070726
-0,03; 0,06; 9,85; 2721070745
-0,02; 0,05; 9,83; 2721070765
-0,02; 0,06; 9,83; 2721070786
-0,02; 0,06; 9,84; 2721070807
-0,02; 0,05; 9,85; 2721070822
-0,01; 0,05; 9,83; 2721070841
-0,02; 0,06; 9,84; 2721070861
-0,02; 0,05; 9,84; 2721070880
-0,02; 0,05; 9,81; 2721070904
-0,02; 0,05; 9,87; 2721088845
-0,02; 0,06; 9,88; 2721088863
-0,03; 0,05; 9,79; 2721088883
