x;y;z;time
-0,41; 6,58; 7,83; 2891656989
-0,87; 6,63; 7,25; 2891657008
-0,63; 6,46; 8,47; 2891657028
-0,61; 6,40; 8,32; 2891657053
-1,05; 6,24; 7,41; 2891657068
-1,18; 6,26; 7,05; 2891657087
-1,08; 6,26; 7,15; 2891657104
-0,98; 6,22; 7,34; 2891657124
-0,92; 6,24; 7,33; 2891657143
-0,94; 6,16; 7,23; 2891657172
-0,91; 6,11; 7,08; 2891657183
-0,67; 6,29; 7,29; 2891657202
-0,51; 6,36; 7,65; 2891657222
-0,55; 6,36; 7,44; 2891657241
-0,14; 6,59; 7,64; 2891657269
0,06; 6,82; 6,72; 2891657283
-0,03; 6,74; 6,18; 2891657300
-0,14; 6,48; 6,35; 2891657319
-0,35; 6,49; 6,67; 2891657337
-0,42; 6,74; 6,75; 2891657356
-0,58; 7,02; 6,84; 2891657376
-0,51; 7,10; 7,38; 2891657401
-0,58; 6,97; 7,88; 2891657420
-0,67; 6,89; 7,89; 2891657435
-0,54; 6,81; 8,08; 2891657455
-0,49; 6,55; 7,99; 2891657472
-0,59; 6,37; 7,70; 2891657493
-0,84; 6,35; 6,93; 2891657520
-0,99; 6,39; 6,67; 2891657536
-0,92; 6,39; 7,19; 2891657552
-1,09; 6,24; 7,17; 2891657571
-1,22; 6,29; 6,65; 2891657590
-0,86; 6,55; 6,58; 2891657610
-0,42; 6,84; 6,91; 2891657636
-0,46; 6,92; 7,08; 2891657651
-0,50; 7,01; 7,54; 2891657669
-0,25; 7,17; 7,65; 2891657686
0,03; 7,48; 7,77; 2891657707
-0,09; 7,45; 7,71; 2891657726
-0,36; 7,32; 7,62; 2891657754
-0,42; 7,19; 7,47; 2891657767
-0,30; 7,25; 7,50; 2891657784
-0,32; 7,45; 7,26; 2891657803
-0,53; 7,47; 6,59; 2891657821
-0,59; 7,24; 6,83; 2891657842
-0,53; 6,85; 7,61; 2891657871
-0,63; 6,08; 8,46; 2891657887
-1,00; 5,49; 8,71; 2891657901
-1,50; 5,48; 8,44; 2891657921
-1,38; 5,78; 8,81; 2891657938
-0,47; 6,04; 9,70; 2891657959
0,26; 5,94; 10,51; 2891657985
0,67; 5,77; 10,67; 2891658001
0,90; 5,93; 9,20; 2891658017
0,79; 6,01; 7,23; 2891658036
0,45; 5,93; 6,54; 2891658056
0,35; 5,81; 7,09; 2891658075
0,23; 5,59; 7,78; 2891658094
-0,41; 5,34; 7,98; 2891658115
-1,10; 5,12; 8,00; 2891658136
-1,49; 4,90; 7,69; 2891658153
